port_id,uri
1,file:{detector}_LOSC_4_V1-1126259446-32.hdf5
2,file:H-H1_LOSC_{DownSampling}_V1-1126259446-32.hdf5
4,file:GW150914_{detector}_shifted.wav
5,file:GW150914_{detector}_whitenbp.wav
6,file:GW150914_{detector}_spectrogram_whitened.png
7,file:GW150914_{detector}_spectrogram.png
8,file:GW150914_filter.png
9,file:GW150914_strain_whitened.png
10,file:GW150914_H1_strain_filtered.png
11,file:GW150914_H1_strain_unfiltered.png
12,file:GW150914_ASDs.png
13,file:GW150914_H1_ASD_{SamplingRate}.png
14,file:{detector}_LOSC_4_V1-1126259446-32.hdf5
15,file:H-H1_LOSC_{downsampling}_V1-1126259446-32.hdf5
25,file:GW150914_ASDs.png
36,file:GW150914_strain_whitened.png
40,file:GW150914_{detector}_spectrogram.png
44,file:GW150914_{detector}_spectrogram_whitened.png
52,file:GW150914_filter.png
55,file:GW150914_H1_strain_filtered.png
56,file:GW150914_H1_strain_unfiltered.png
59,file:GW150914_{detector}_whitenbp.wav
66,file:GW150914_{detector}_shifted.wav
69,file:GW150914_H1_ASD_{SamplingRate}.png
